"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","xdg"
"Cmdline:","dstat -t -a -m --out /home/xdg/moni/linuxInfo.csv",,,,"Date:","04 Apr 2019 00:41:37 PDT"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
04-04 00:41:37,8.953,3.196,87.519,0.122,0.0,0.210,1627137.711,382735.454,0.0,0.0,9780.664,76670.075,282.905,561.196,699854848.0,0.0,235388928.0,91992064.0
04-04 00:41:38,19.608,12.745,66.667,0.0,0.0,0.980,0.0,0.0,876.0,454.0,0.0,0.0,430.0,624.0,699969536.0,0.0,235417600.0,91848704.0
04-04 00:41:39,0.0,1.031,98.969,0.0,0.0,0.0,0.0,0.0,1562.0,1772.0,0.0,0.0,90.0,168.0,699969536.0,0.0,235417600.0,91848704.0
04-04 00:41:40,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1230.0,1472.0,0.0,0.0,95.0,167.0,699969536.0,0.0,235417600.0,91848704.0
04-04 00:41:41,0.0,1.020,98.980,0.0,0.0,0.0,0.0,0.0,180.0,230.0,0.0,0.0,61.0,91.0,699957248.0,0.0,235417600.0,91860992.0
04-04 00:41:42,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,1434.0,2595.0,0.0,0.0,97.0,152.0,701022208.0,0.0,235417600.0,90796032.0
04-04 00:41:43,0.0,1.020,98.980,0.0,0.0,0.0,32768.0,0.0,448.0,613.0,32768.0,0.0,100.0,198.0,700649472.0,0.0,235425792.0,91160576.0
04-04 00:41:44,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,210.0,320.0,0.0,0.0,65.0,110.0,700649472.0,0.0,235425792.0,91160576.0
04-04 00:41:45,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,230.0,0.0,0.0,65.0,103.0,700649472.0,0.0,235425792.0,91160576.0
04-04 00:41:46,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,424.0,230.0,0.0,0.0,73.0,124.0,700682240.0,0.0,235425792.0,91127808.0
04-04 00:41:47,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,516.0,230.0,0.0,0.0,69.0,122.0,700682240.0,0.0,235425792.0,91127808.0
04-04 00:41:48,47.727,47.727,4.545,0.0,0.0,0.0,98304.0,37888.0,1909.0,4085.0,98304.0,0.0,1109.0,1775.0,699207680.0,0.0,235417600.0,92610560.0
04-04 00:41:49,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,120.0,230.0,0.0,0.0,57.0,102.0,699174912.0,0.0,235433984.0,92626944.0
04-04 00:41:50,1.0,1.0,98.0,0.0,0.0,0.0,0.0,15872.0,1702.0,2858.0,0.0,0.0,101.0,169.0,700350464.0,0.0,235433984.0,91451392.0
04-04 00:41:51,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,180.0,230.0,0.0,0.0,62.0,111.0,700379136.0,0.0,235438080.0,91418624.0
04-04 00:41:52,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,60.0,230.0,0.0,0.0,63.0,113.0,700379136.0,0.0,235438080.0,91418624.0
04-04 00:41:53,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,230.0,0.0,0.0,60.0,103.0,700379136.0,0.0,235438080.0,91418624.0
04-04 00:41:54,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,230.0,0.0,0.0,50.0,92.0,700379136.0,0.0,235438080.0,91418624.0
04-04 00:41:55,0.990,6.931,91.089,0.0,0.0,0.990,0.0,0.0,449.0,477.0,0.0,0.0,144.0,186.0,700784640.0,0.0,235438080.0,91013120.0
04-04 00:41:56,45.918,33.673,20.408,0.0,0.0,0.0,65536.0,22528.0,1608.0,6340.0,65536.0,0.0,1039.0,1658.0,699379712.0,0.0,235446272.0,92409856.0
04-04 00:41:57,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,120.0,230.0,0.0,0.0,61.0,118.0,699363328.0,0.0,235446272.0,92426240.0
04-04 00:41:58,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,1677.0,2475.0,0.0,0.0,94.0,156.0,700698624.0,0.0,235446272.0,91090944.0
04-04 00:41:59,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,388.0,613.0,0.0,0.0,58.0,103.0,700694528.0,0.0,235450368.0,91090944.0
04-04 00:42:00,1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,120.0,320.0,0.0,0.0,70.0,122.0,700694528.0,0.0,235450368.0,91090944.0
04-04 00:42:01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,230.0,0.0,0.0,60.0,102.0,700694528.0,0.0,235450368.0,91090944.0
04-04 00:42:02,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,180.0,230.0,0.0,0.0,67.0,114.0,700694528.0,0.0,235450368.0,91090944.0
04-04 00:42:03,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,240.0,230.0,0.0,0.0,68.0,111.0,700694528.0,0.0,235450368.0,91090944.0
